text,start,duration
寝てしまっていてワンシーン出とちっ,223.92,2.66
たって,225.48,4.64
でかいぞー,226.58,3.54
[音楽],231.5,5.61
結構でも正直前ですね,238.98,5.119
本当にどんぐらいこう10年以上前から,240.42,7.02
高校中学生ぐらいの時だねあの,244.099,5.761
めっちゃ寝るから,247.44,2.42
待ち時間なんだよね,250.799,3.08
先輩のバックで,259.82,4.98
よく出遅れる,261.959,2.841
それで待ってだから,266.0,5.44
電話本当に集中してる集中してて,268.5,5.16
次いつやろうなって思ったらあれ,271.44,3.9
戻ってるぐらい,273.66,3.319
終わってる,275.34,5.28
からもバレてないあそういうことねはい,276.979,7.141
はいはいはいそれが悲しいよね,280.62,3.5
この1曲っていうのは結構,284.24,4.48
味噌ですかもうあえてやっぱ書いてある,287.04,4.86
ところですかありがとう,288.72,3.18
ございます一生,297.96,3.12
割ってやっぱジュニアでめちゃめちゃ,306.54,4.379
ぎゅうぎゅうで着替えるよねそんな中で,308.699,6.44
あの靴がなくて靴下出てる,310.919,4.22
違うやつが自分の靴履いてっちゃって,317.04,6.12
靴ないってなってその時に黒靴が必要な時,320.52,3.48
に,323.16,3.78
ちょうど黒い靴下になっちゃいます,324.0,5.58
僕はあの舞台の本番,326.94,3.78
セリフなる,329.58,3.22
セリフがあるマイクをつけ忘れる,330.72,4.56
[拍手],332.8,4.459
と思って出てるから,335.28,3.3
喋った時に,337.259,2.401
地声で,338.58,3.72
付いてないことにね気づくっていうはい,339.66,5.039
はいはいはいうわでもこれもこれも,342.3,3.3
上位だな,344.699,3.681
滝沢歌舞伎を,345.6,2.78
武田君から引,348.479,6.481
き継い初演のどこだよ南さん,351.06,6.44
多分京都の,354.96,4.62
でその時,357.5,4.479
東山さんとかも多分見に,359.58,4.64
先輩方,361.979,2.241
のこのMC中から,366.139,6.221
水分補給する時にこうちょっとこう水を,369.36,6.02
ちょっとこうあれ,372.36,3.02
一番強いのドラマこれじゃない,378.24,5.299
俺多分クッカさん,380.88,2.659
でいやここがわからないいやさすがやー,387.68,6.959
映したでバレないから,395.039,3.72
多分大丈夫だろうってこう判断が多分でき,397.02,4.5
てるからねあの出演者側はあいつ靴下で出,398.759,5.761
てるってわかんないけどだから多分こう,401.52,10.08
こうこうこうこれだな行くわよはい,404.52,9.679
低ければいいからね,411.6,2.599
頼むよ,420.0,2.24
28おーままままままじゃあ先輩のバック,427.56,8.66
で1曲出遅れるあ出遅れるはい,432.18,4.04
行けるかやばいか47,439.52,7.78
[拍手],444.15,3.15
8,447.96,2.239
年,454.46,3.38
でした,456.68,5.91
[音楽],457.84,4.75
お題お願いします,465.419,4.62
スノーマンとして嬉しいこと嬉しかった,467.759,3.601
もの,470.039,5.301
え嬉しいこと嬉しかったらどっちですか,471.36,3.98
これだよこれ,484.02,2.66
マジか,490.039,3.0
まああとはみんなの出方見て快適しかね1,497.819,6.881
回じゃあ叩き大丈夫か,502.02,4.799
[音楽],504.7,6.2
じゃあ私が行きますよはいちょっとこれむ,506.819,5.46
ずいOKこれまあ,510.9,3.24
俺のがジャブだと思ってこう基準として,512.279,2.76
考えてくれれば,514.14,5.519
ええとどこのお店にお店にも担当がつく,515.039,9.601
深澤さんとか行ってもこう1回行くとこう,519.659,6.961
知ってくださってそこから毎回同じ人が,524.64,3.6
やってくれたりとか,526.62,5.1
洋服のお店行ってもあのもう毎回同じ人が,528.24,7.58
今日こういうのが入ってきましたみたいな,531.72,4.1
名前は,536.22,2.239
芸能人すぎるよね,538.62,3.659
渋谷にでかいポスター,545.76,3.079
はいだから結構嬉しかったらやっぱり,552.86,6.4
我々はさやっぱり,563.04,4.58
事務所にいる歴がないから,565.2,5.4
そんな中で自分本当に憧れてる後輩が,567.62,5.46
見つかったとき,570.6,2.48
そんな人いるんですか,573.56,3.54
嘘だと思うんですけどこれ多分俺がスノー,584.76,4.91
マンとしてっていう言葉に一番,587.94,3.0
[音楽],589.67,3.91
多分ね合ってると何でしょう人数が多い,590.94,7.64
から誕生日プレゼントが贅沢ですね,593.58,5.0
単価というか,603.839,2.301
僕この,607.38,3.32
自分が,608.58,4.319
やったんですけど,610.7,5.139
ふかふかのベッドで眠れた時,612.899,4.681
1分を,615.839,4.401
床に敷いて寝てる,617.58,4.259
のが,620.24,4.5
結構初めてですね,621.839,2.901
寝れる時間がなくて寝れたとかじゃない,625.019,3.961
ことじゃなくてもその,626.7,3.42
みんなベッドで寝れるようになったん,628.98,3.419
だって,630.12,4.8
ご褒美だねそれはやっぱなんかちょっと,632.399,5.101
感動したんだよねいやなんか俺今回それ,634.92,4.979
めっちゃ嬉しいのか,637.5,3.18
逆なんだよ,639.899,4.321
ほぼ上なんだよね,640.68,3.54
なんかそんな気に見えるいいことではある,646.38,5.88
けど多分数字で表すとなると俺が多分一番,649.44,5.519
こん中だとしたで工事の渋谷にポスター,652.26,5.819
なんて絶対いやこれマジで多分一番,654.959,5.401
印象的なもんねなんかあれは多分一番だ,658.079,5.401
からでもなんか今変えてるんですよ,660.36,4.62
俺もちょっとじゃあ1個変えたのもあるん,663.48,3.799
でOK,664.98,2.299
[音楽],670.63,3.09
自分が出てた部隊,675.899,4.081
あれを,678.26,6.34
地方公園にみんなが来てくれるの,679.98,4.62
のレベルをどう表したらいいのかこれにし,689.94,6.2
ないじゃあ各々の100を聞くっていう,693.24,5.94
そしたらさ相対的になんとなくわかんない,696.14,5.52
けどね,699.18,2.48
[音楽],702.52,4.819
高速から東京に来て酢の物に,704.24,5.98
入ったことですらもうね出会ったことが,707.339,7.261
100って無限にあるからこの,710.22,4.38
状況,716.339,2.0
[音楽],723.72,3.079
だから,728.839,6.361
ハンドマイクで,731.88,3.32
歌を歌ってだってキラキラして,735.3,7.08
お客さんが,740.7,3.96
キャーっていうとか,742.38,5.399
ほぼ多分だから多分そのないよねハンド,744.66,6.0
マイクをまず握れた時の順にあって死ぬ,747.779,5.281
ほど嬉しいのマジで,750.66,5.52
多分マジで嬉しいからこれ多分ワンチャン,753.06,7.2
俺ラウの数字ってマジで90前後かはい,756.18,7.339
はいはいはい,760.26,3.259
ハンドマイク握ってもいいよっていう,765.44,7.74
広告をちょっと聞いたと88,769.32,3.86
電源は,782.88,2.639
電源は入ってない,783.779,3.381
待ってしたら,785.519,4.681
でも俺よりも上だ,787.16,4.08
俺1番,790.2,4.04
した,791.24,3.0
よでしょ,794.899,3.0
俺2番,796.98,4.14
ってさプレゼントが贅沢とさあ,797.899,4.56
憧れてる,801.12,4.76
こっち高いですよ,802.459,3.421
上から行こうじゃん,811.079,2.541
とりあえず91丁目,814.579,4.301
やねんけど,816.98,3.24
上やでこれ,818.88,3.899
まあそうだよね,820.22,5.44
わかってくれたよねはいはい一応上出して,822.779,6.5
いくよじゃあ俺なのだよね,825.66,3.619
すごいよいいじゃんはい41です,831.66,6.819
[音楽],835.35,3.129
78です,841.62,2.36
スノー,859.26,4.8
マンくんいや今だけ嬉しい今ので分かった,860.94,3.839
けど,864.06,3.74
めっちゃ誕生日楽しみですよ,864.779,3.021
渋谷のポスターです,868.26,3.72
[拍手],877.94,3.189
