text,start,duration
でねある程度絞りたいと思いますけどね,1045.919,7.561
見極める時間に監督の中でもしていきたい,1050.799,5.74
というそうですねはい,1053.48,4.559
そして,1056.539,3.901
間にねそのまあ,1058.039,4.561
課題というかねやらなきゃいけないことを,1060.44,5.82
ねうんそのね精神に対しては,1062.6,6.68
ちゃんと明確にね,1066.26,3.02
ちゃんと教えてやるというのも大事かも,1069.32,3.859
わからないですね,1070.88,2.299
最後になりますが監督は就任の際も秋と,1073.34,5.579
いう期間は非常に重要だというふうに,1076.28,4.32
おっしゃっていたと思います,1078.919,2.64
改めてこの,1080.6,3.24
秋今日からどんな時間を過ごしていきたい,1081.559,5.581
なと思ってらっしゃいますかもう,1083.84,5.94
体はもうねみんなできてるんで1年間2月,1087.14,5.76
からやってきたわけですねまあ,1089.78,5.42
夏の疲れとか1年間疲れもね,1092.9,6.54
まあ今が一番ねまあ技術の工場というかね,1095.2,6.88
もう体力面っていうかそういうあの心配し,1099.44,5.16
なくていいんでこの時期はそういう意味で,1102.08,3.24
ね,1104.6,3.84
技術のレベルアップというか5人個人のね,1105.32,6.42
そういうことをもう重点的にできる時期な,1108.44,6.599
んでまあそういうことをねまあ11月まで,1111.74,4.46
ね,1115.039,4.5
重点的にやっていきたいと思いますね,1116.2,6.12
ありがとうございます,1119.539,2.781
[音楽],1122.81,6.49
[拍手],1127.4,10.169
[音楽],1129.3,8.269
